,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,,,,,,,,,,,,,,,,,,
2/24/2000,0.011563347,0.015330387,0.011568612,0.018743437,0.018876488,0.028288223,0.019405614,0.024329524,0.061755713,0.051178856,0.057714371,0.154893093,0.047405275,0.129662306,0.1705701,0.047254009,0.073115422,0.058345224,,,,,,,,,,,,,,,,,,
2/25/2000,0.011589847,0.01530112,0.01151654,0.018538899,0.018708879,0.028404574,0.019569477,0.024128726,0.061437128,0.050929617,0.057922841,0.155457711,0.047379477,0.129862136,0.170864211,0.047140388,0.073515898,0.057732532,,,,,,,,,,,,,,,,,,
2/28/2000,0.011506889,0.015150042,0.011489025,0.018428186,0.018560964,0.02857237,0.019860426,0.024197825,0.060521153,0.050760545,0.057817607,0.15595136,0.04770112,0.130243101,0.171313726,0.047238187,0.073686948,0.057000526,,,,,,,,,,,,,,,,,,
2/29/2000,0.011624913,0.015341801,0.011635546,0.018691065,0.018857071,0.028460937,0.019648583,0.023853075,0.059615809,0.050934915,0.057739831,0.155914779,0.047876604,0.130552607,0.171602265,0.047245938,0.073534207,0.056870053,,,,,,,,,,,,,,,,,,
3/1/2000,0.010917028,0.015064204,0.014589139,0.020074569,0.019473801,0.027845451,0.017121249,0.02153174,0.059488322,0.053538653,0.053889068,0.156600115,0.049361818,0.132918126,0.175141217,0.051104014,0.070832712,0.050508772,,,,,,,,,,,,,,,,,,
3/2/2000,0.01088435,0.015262493,0.014663549,0.020000087,0.019441904,0.028055057,0.01739108,0.021706766,0.060760049,0.05406915,0.053500718,0.155870646,0.049314158,0.132266834,0.173949827,0.050564191,0.072202188,0.050096951,,,,,,,,,,,,,,,,,,
3/3/2000,0.010882111,0.015227008,0.01470757,0.01987198,0.019406105,0.028122008,0.017706345,0.02184752,0.06185603,0.05412149,0.053484801,0.155530819,0.049674992,0.132210972,0.173619825,0.050373087,0.071894437,0.0494629,,,,,,,,,,,,,,,,,,
3/6/2000,0.011131311,0.015495898,0.014926618,0.020097628,0.019659428,0.028104172,0.017746266,0.021893898,0.061332382,0.054060447,0.05358445,0.155484098,0.049820636,0.132014358,0.173508881,0.050459101,0.071570234,0.049110193,,,,,,,,,,,,,,,,,,
3/7/2000,0.010990412,0.015339696,0.014687949,0.019727909,0.019372648,0.028169486,0.017675767,0.022083892,0.062259636,0.054048069,0.05334497,0.155085733,0.049828341,0.131911092,0.173506435,0.050421206,0.0724485,0.04909826,,,,,,,,,,,,,,,,,,
3/8/2000,0.010701934,0.015025042,0.014295796,0.019225419,0.018827464,0.027922828,0.017556744,0.021931096,0.062075463,0.05356073,0.053361622,0.155282412,0.050125729,0.132174167,0.173778399,0.049930912,0.074951597,0.049272647,,,,,,,,,,,,,,,,,,
3/9/2000,0.010854973,0.015080892,0.014538319,0.019363293,0.01914317,0.027815089,0.017333729,0.021738678,0.062159568,0.053596325,0.05346635,0.155807605,0.050652174,0.132670381,0.174459395,0.050192465,0.071433113,0.04969448,,,,,,,,,,,,,,,,,,
3/10/2000,0.011117135,0.015289663,0.014850875,0.01953623,0.019439731,0.027961098,0.017346908,0.021910138,0.061808261,0.053829397,0.053324791,0.155400133,0.050645072,0.132321333,0.174006689,0.050107266,0.071696133,0.049409148,,,,,,,,,,,,,,,,,,
